episode,checkpoint,training_return,validation_return,generalization_gap,steps,trades,final_value
50,episode_50.pth,3.6475453611466655,-2.3945948469361027,6.042140208082769,272,227,97605.4051530639
100,episode_100.pth,3.741790479060393,-2.3945948469361027,6.136385325996496,272,227,97605.4051530639
150,episode_150.pth,0.5079872934142623,-2.3945948469361027,2.902582140350365,272,227,97605.4051530639
200,episode_200.pth,0.8554727256266051,-2.3945948469361027,3.250067572562708,272,227,97605.4051530639
250,episode_250.pth,3.963998400415949,-2.3945948469361027,6.358593247352052,272,227,97605.4051530639
300,episode_300.pth,6.469728256151153,-2.3945948469361027,8.864323103087255,272,227,97605.4051530639
350,episode_350.pth,-0.16993570226345037,-2.3945948469361027,2.2246591446726525,272,227,97605.4051530639
400,episode_400.pth,5.4960394632630925,-2.3945948469361027,7.890634310199195,272,227,97605.4051530639
450,episode_450.pth,-0.5497325780212414,-2.3945948469361027,1.8448622689148613,272,227,97605.4051530639
500,episode_500.pth,-0.8313826869422919,-2.3945948469361027,1.5632121599938107,272,227,97605.4051530639
550,episode_550.pth,6.092529407591777,-2.3945948469361027,8.48712425452788,272,227,97605.4051530639
600,episode_600.pth,5.401172169101512,-2.3945948469361027,7.795767016037615,272,227,97605.4051530639
650,episode_650.pth,2.3287843637173062,-2.3945948469361027,4.723379210653409,272,227,97605.4051530639
700,episode_700.pth,2.3761135590572375,-2.3945948469361027,4.77070840599334,272,227,97605.4051530639
750,episode_750.pth,3.872183021037854,-2.3945948469361027,6.266777867973957,272,227,97605.4051530639
800,episode_800.pth,3.8853093487868176,-2.3945948469361027,6.279904195722921,272,227,97605.4051530639
850,episode_850.pth,2.931627295134269,-2.3945948469361027,5.326222142070371,272,227,97605.4051530639
900,episode_900.pth,1.5746163437669456,-2.3945948469361027,3.9692111907030485,272,227,97605.4051530639
950,episode_950.pth,2.05668590644392,-2.3945948469361027,4.451280753380022,272,227,97605.4051530639
1000,episode_1000.pth,-1.9332743520652291,-2.3945948469361027,0.46132049487087357,272,227,97605.4051530639
