idx,regime,price
50,bear,59012.79296875
51,neutral,61175.19140625
52,bear,60381.9140625
53,bear,64094.35546875
54,bear,64178.9921875
55,neutral,64333.54296875
56,neutral,62880.66015625
57,bear,59504.1328125
58,bear,59027.625
59,bear,59388.1796875
60,bear,59119.4765625
61,bear,58969.8984375
62,bear,57325.48828125
63,bear,59112.48046875
64,bear,57431.0234375
65,bear,57971.5390625
66,bear,56160.48828125
67,bear,53948.75390625
68,bear,54139.6875
69,bear,54841.56640625
70,bear,57019.53515625
71,bear,57648.7109375
72,bear,57343.171875
73,bear,58127.01171875
74,bear,60571.30078125
75,bear,60005.12109375
76,bear,59182.8359375
77,bear,58192.5078125
78,bear,60308.5390625
79,neutral,61649.6796875
80,neutral,62940.45703125
81,neutral,63192.9765625
82,neutral,63394.83984375
83,neutral,63648.7109375
84,neutral,63329.80078125
85,neutral,64301.96875
86,neutral,63143.14453125
87,neutral,65181.01953125
88,neutral,65790.6640625
89,neutral,65887.6484375
90,neutral,65635.3046875
91,neutral,63329.5
92,neutral,60837.0078125
93,neutral,60632.78515625
94,neutral,60759.40234375
95,bull,62067.4765625
96,bull,62089.94921875
97,bull,62818.953125
98,neutral,62236.66015625
99,neutral,62131.96875
100,neutral,60582.1015625
101,neutral,60274.5
102,neutral,62445.08984375
103,neutral,63193.0234375
104,neutral,62851.375
105,bull,66046.125
106,bull,67041.109375
107,bull,67612.71875
108,bull,67399.8359375
109,bull,68418.7890625
110,bull,68362.734375
111,bull,69001.703125
112,bull,67367.8515625
113,neutral,67361.40625
114,neutral,66432.1953125
115,neutral,68161.0546875
116,neutral,66642.4140625
117,bull,67014.6953125
118,bull,67929.296875
119,bull,69907.7578125
120,bull,72720.4921875
121,bull,72339.5390625
122,bull,70215.1875
123,bull,69482.46875
124,bull,69289.2734375
125,bull,68741.1171875
126,bull,67811.5078125
127,bull,69359.5625
128,bull,75639.078125
129,bull,75904.859375
130,bull,76545.4765625
131,bull,76778.8671875
132,bull,80474.1875
133,bull,88701.484375
134,bull,87955.8125
135,bull,90584.1640625
136,bull,87250.4296875
137,bull,91066.0078125
138,bull,90558.4765625
139,bull,89845.8515625
140,bull,90542.640625
141,bull,92343.7890625
142,bull,94339.4921875
143,bull,98504.7265625
144,bull,98997.6640625
145,bull,97777.28125
146,bull,98013.8203125
147,bull,93102.296875
148,bull,91985.3203125
149,bull,95962.53125
150,bull,95652.46875
151,bull,97461.5234375
152,bull,96449.0546875
153,bull,97279.7890625
154,bull,95865.3046875
155,bull,96002.1640625
156,bull,98768.53125
157,bull,96593.5703125
158,bull,99920.7109375
159,bull,99923.3359375
160,bull,101236.015625
161,bull,97432.71875
162,bull,96675.4296875
163,bull,101173.03125
164,bull,100043.0
165,bull,101459.2578125
166,bull,101372.96875
167,bull,104298.6953125
168,bull,106029.71875
169,bull,106140.6015625
170,bull,100041.5390625
171,bull,97490.953125
172,bull,97755.9296875
173,bull,97224.7265625
174,neutral,95104.9375
175,bull,94686.2421875
176,bull,98676.09375
177,bull,99299.1953125
178,bull,95795.515625
179,neutral,94164.859375
180,neutral,95163.9296875
181,neutral,93530.2265625
